Compound,Cortex,Hippocampus,Spinal Cord,Cerebellum,Brain Stem,Species,Dose,Time,Target
333611,NA,NA,50,NA,NA,Rat,500ug,2w,SOD1
383872,NA,NA,70,NA,NA,Rat,500ug,2w,SOD1
611460,NA,NA,56,NA,NA,Rat,500ug,2w,SOD1
611464,NA,NA,56,NA,NA,Rat,500ug,2w,SOD1
611468,NA,NA,64,NA,NA,Rat,500ug,2w,SOD1
611481,NA,NA,61,NA,NA,Rat,500ug,2w,SOD1
611473,NA,NA,69,NA,NA,Rat,500ug,2w,SOD1
611474,NA,NA,32,NA,NA,Rat,500ug,2w,SOD1
611479,NA,NA,81,NA,NA,Rat,500ug,2w,SOD1
611484,NA,NA,59,NA,NA,Rat,500ug,2w,SOD1
611485,NA,NA,58,NA,NA,Rat,500ug,2w,SOD1
611492,NA,NA,52,NA,NA,Rat,500ug,2w,SOD1
611472,NA,NA,89,NA,NA,Rat,500ug,2w,SOD1
611478,NA,NA,76,NA,NA,Rat,500ug,2w,SOD1
611490,NA,NA,49,NA,NA,Rat,500ug,2w,SOD1
611494,NA,NA,63,NA,NA,Rat,500ug,2w,SOD1
611495,NA,NA,70,NA,NA,Rat,500ug,2w,SOD1
611498,NA,NA,67,NA,NA,Rat,500ug,2w,SOD1
611499,NA,NA,53,NA,NA,Rat,500ug,2w,SOD1
611500,NA,NA,45,NA,NA,Rat,500ug,2w,SOD1
611457,NA,NA,52,NA,NA,Rat,500ug,2w,SOD1
611467,NA,NA,76,NA,NA,Rat,500ug,2w,SOD1
611488,NA,NA,86,NA,NA,Rat,500ug,2w,SOD1
612917,NA,NA,54,NA,NA,Rat,500ug,2w,SOD1
612923,NA,NA,46,NA,NA,Rat,500ug,2w,SOD1
612925,NA,NA,34,NA,NA,Rat,500ug,2w,SOD1
612928,NA,NA,17,NA,NA,Rat,500ug,2w,SOD1
612912,NA,NA,44,NA,NA,Rat,500ug,2w,SOD1
612919,NA,NA,41,NA,NA,Rat,500ug,2w,SOD1
612916,NA,NA,30,NA,NA,Rat,500ug,2w,SOD1
612931,NA,NA,23,NA,NA,Rat,500ug,2w,SOD1
612932,NA,NA,76,NA,NA,Rat,500ug,2w,SOD1
612915,NA,NA,49,NA,NA,Rat,500ug,2w,SOD1
612918,NA,NA,31,NA,NA,Rat,500ug,2w,SOD1
612927,NA,NA,27,NA,NA,Rat,500ug,2w,SOD1
612934,NA,NA,50,NA,NA,Rat,500ug,2w,SOD1
612935,NA,NA,40,NA,NA,Rat,500ug,2w,SOD1
612940,NA,NA,82,NA,NA,Rat,500ug,2w,SOD1
612941,NA,NA,24,NA,NA,Rat,500ug,2w,SOD1
612942,NA,NA,59,NA,NA,Rat,500ug,2w,SOD1
612943,NA,NA,45,NA,NA,Rat,500ug,2w,SOD1
612944,NA,NA,46,NA,NA,Rat,500ug,2w,SOD1
612924,NA,NA,47,NA,NA,Rat,500ug,2w,SOD1
612947,NA,NA,28,NA,NA,Rat,500ug,2w,SOD1
612948,NA,NA,14,NA,NA,Rat,500ug,2w,SOD1
612949,NA,NA,20,NA,NA,Rat,500ug,2w,SOD1
654304,NA,NA,83,NA,NA,Rat,500ug,2w,SOD1
654305,NA,NA,93,NA,NA,Rat,500ug,2w,SOD1
654306,NA,NA,82,NA,NA,Rat,500ug,2w,SOD1
654307,NA,NA,92,NA,NA,Rat,500ug,2w,SOD1
654334,NA,NA,71,NA,NA,Rat,500ug,2w,SOD1
666854,NA,NA,54,NA,NA,Rat,500ug,2w,SOD1
666855,NA,NA,73,NA,NA,Rat,500ug,2w,SOD1
666857,NA,NA,51,NA,NA,Rat,500ug,2w,SOD1
666858,NA,NA,70,NA,NA,Rat,500ug,2w,SOD1
666859,NA,NA,28,NA,NA,Rat,500ug,2w,SOD1
666864,NA,NA,55,NA,NA,Rat,500ug,2w,SOD1
666865,NA,NA,42,NA,NA,Rat,500ug,2w,SOD1
666866,NA,NA,38,NA,NA,Rat,500ug,2w,SOD1
666908,NA,NA,74,NA,NA,Rat,500ug,2w,SOD1
666923,NA,NA,64,NA,NA,Rat,500ug,2w,SOD1
654323,NA,NA,56,NA,NA,Rat,500ug,2w,SOD1
666846,NA,NA,43,NA,NA,Rat,500ug,2w,SOD1
666849,NA,NA,41,NA,NA,Rat,500ug,2w,SOD1
666853,NA,NA,22,NA,NA,Rat,500ug,2w,SOD1
666861,NA,NA,49,NA,NA,Rat,500ug,2w,SOD1
666867,NA,NA,46,NA,NA,Rat,500ug,2w,SOD1
666869,NA,NA,18,NA,NA,Rat,500ug,2w,SOD1
666870,NA,NA,28,NA,NA,Rat,500ug,2w,SOD1
666919,NA,NA,28,NA,NA,Rat,500ug,2w,SOD1
666921,NA,NA,32,NA,NA,Rat,500ug,2w,SOD1
666922,NA,NA,36,NA,NA,Rat,500ug,2w,SOD1
684059,NA,NA,46,NA,NA,Rat,500ug,2w,SOD1
684064,NA,NA,49,NA,NA,Rat,500ug,2w,SOD1
684068,NA,NA,82,NA,NA,Rat,500ug,2w,SOD1
684087,NA,NA,63,NA,NA,Rat,500ug,2w,SOD1
684088,NA,NA,69,NA,NA,Rat,500ug,2w,SOD1
684095,NA,NA,66,NA,NA,Rat,500ug,2w,SOD1
684097,NA,NA,78,NA,NA,Rat,500ug,2w,SOD1
684101,NA,NA,78,NA,NA,Rat,500ug,2w,SOD1
684104,NA,NA,89,NA,NA,Rat,500ug,2w,SOD1
424880,50,47,45,NA,NA,Mouse,300ug,2w,Tau
613045,88,62,53,NA,NA,Mouse,300ug,2w,Tau
613099,58,45,46,NA,NA,Mouse,300ug,2w,Tau
613118,36,27,42,NA,NA,Mouse,300ug,2w,Tau
613136,74,61,73,NA,NA,Mouse,300ug,2w,Tau
613255,70,54,64,NA,NA,Mouse,300ug,2w,Tau
613329,80,31,33,NA,NA,Mouse,300ug,2w,Tau
613344,59,58,66,NA,NA,Mouse,300ug,2w,Tau
613361,31,43,28,NA,NA,Mouse,300ug,2w,Tau
613369,83,52,54,NA,NA,Mouse,300ug,2w,Tau
613370,58,39,37,NA,NA,Mouse,300ug,2w,Tau
613397,67,59,43,NA,NA,Mouse,300ug,2w,Tau
623782,38,30,29,NA,NA,Mouse,300ug,2w,Tau
623996,26,31,24,NA,NA,Mouse,300ug,2w,Tau
763085,4,NA,NA,NA,NA,Mouse,300ug,2w,SNCA
763364,10,NA,NA,NA,NA,Mouse,300ug,2w,SNCA
763391,6,NA,NA,NA,NA,Mouse,300ug,2w,SNCA
789243,15,NA,NA,NA,NA,Mouse,300ug,2w,SNCA
827599,13,NA,NA,NA,NA,Mouse,300ug,2w,SNCA
749860,24,24,13,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749861,50,48,26,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749863,56,45,38,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749865,88,97,64,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749869,49,38,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749882,34,29,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749885,84,66,60,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749893,42,35,28,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749894,8,6,4,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749907,66,48,52,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749931,30,23,25,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749969,12,14,14,NA,NA,Mouse,350ug,2w,UBE3A-ATS
749991,34,25,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750006,21,20,22,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750028,30,20,22,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750030,39,28,36,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750032,9,8,14,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750040,62,43,52,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750051,32,26,31,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750092,58,42,51,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750139,26,21,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750140,18,14,18,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750214,58,44,46,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750292,37,33,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750312,44,46,56,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750359,22,21,28,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750360,50,38,42,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750365,85,67,57,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750386,23,22,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750413,34,36,40,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750430,37,42,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
750439,49,45,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065296,36,34,32,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065578,46,42,34,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065579,16,18,18,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065586,71,55,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065590,65,52,42,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065591,27,22,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065595,45,32,19,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065599,26,22,18,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065600,40,35,32,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065605,65,63,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065607,36,34,28,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065608,51,40,18,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065623,32,28,16,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065635,38,38,31,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065641,47,52,31,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065642,62,55,42,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065645,21,27,16,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065646,48,57,39,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065651,36,45,28,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065667,24,27,21,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065671,28,27,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065685,76,72,56,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065690,18,14,10,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065708,30,34,26,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065710,29,32,28,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065713,37,32,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065765,30,24,23,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065813,64,45,36,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065823,32,28,34,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065858,17,20,19,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065859,18,16,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065863,34,40,46,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065868,16,16,18,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065920,50,56,46,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065932,30,29,26,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065947,35,30,31,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1066221,72,72,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1066420,66,72,54,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1066423,36,38,40,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1066429,78,70,72,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065272,39,30,38,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065582,52,30,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065616,44,25,37,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065619,54,25,32,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065621,56,37,42,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065624,62,41,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065631,68,33,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065669,80,32,36,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065674,106,35,36,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065678,100,36,32,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065680,128,60,42,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065686,59,24,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065696,112,34,42,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065719,116,34,60,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065728,48,10,17,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065754,108,24,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065766,104,41,26,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065768,92,40,36,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065799,102,42,41,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065812,30,14,16,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065817,56,22,26,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065821,38,18,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065829,69,18,32,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065840,53,14,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065856,37,16,18,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065857,48,24,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065899,68,27,34,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065902,48,16,19,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065937,78,12,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065953,50,12,16,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065955,61,18,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1066046,114,34,54,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1066076,76,26,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1066092,52,14,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1066217,65,26,34,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1066253,44,14,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1066377,76,29,45,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263473,66,71,43,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263474,10,15,8,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263475,8,10,6,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263476,14,12,6,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263477,11,10,4,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263478,17,18,13,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263486,32,27,27,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263487,43,43,31,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263488,14,24,23,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263489,16,17,16,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263490,23,28,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263491,21,25,22,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263492,58,50,29,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263504,12,11,9,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263505,7,11,6,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263506,6,10,5,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263507,6,14,5,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263508,9,15,7,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263509,7,17,6,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263510,72,70,37,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263517,17,22,13,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263518,30,36,19,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263519,15,25,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263520,11,19,15,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263521,20,44,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263522,35,29,22,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263523,32,30,21,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263532,40,49,29,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263533,17,24,18,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263534,37,52,27,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263536,36,45,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263537,34,43,29,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263539,88,59,51,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263540,29,21,22,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263541,80,66,52,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263543,84,362,49,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263544,104,100,53,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263545,57,54,36,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263546,88,45,45,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263547,30,28,26,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263548,47,45,36,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263549,84,87,66,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263550,76,75,47,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263551,39,45,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263552,93,65,66,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263554,88,75,72,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263556,83,59,60,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263557,109,91,86,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263408,46,70,45,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263409,33,44,29,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263410,42,64,29,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263411,58,72,42,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263419,65,126,47,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263420,72,130,73,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263429,36,33,27,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263434,42,50,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263435,61,42,47,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263441,29,17,22,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263451,28,16,21,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263452,15,8,14,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263453,9,9,13,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263454,13,8,6,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263455,35,19,5,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263458,88,62,39,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263459,52,45,28,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263460,34,28,11,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263461,35,30,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263462,25,24,25,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263463,66,40,36,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263464,38,22,25,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1263465,39,35,32,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065786,32,75,121,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165526,46,78,116,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272943,32,73,41,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272946,33,69,37,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272947,54,94,55,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272951,75,89,70,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272952,109,85,125,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272953,51,78,86,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272954,70,89,110,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272955,70,136,137,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272960,40,77,59,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272962,26,52,45,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272964,62,58,74,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272965,25,39,43,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272966,67,68,52,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272967,62,69,65,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272968,66,62,76,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272969,147,60,83,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272970,60,57,143,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272971,48,58,81,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272972,38,69,74,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272974,18,29,40,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272975,96,86,124,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272976,50,62,93,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272977,47,59,58,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272978,40,46,39,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272979,46,69,61,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272982,42,58,60,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272983,70,83,84,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272985,38,56,72,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272987,28,37,181,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272988,31,34,66,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272989,68,60,87,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272992,42,45,77,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272993,60,36,57,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272994,10,12,16,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272995,93,35,182,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272996,18,9,26,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272997,27,12,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1272998,17,14,26,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273000,56,45,104,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273003,60,28,93,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273009,19,8,39,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273011,80,78,145,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273012,71,36,110,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273014,37,19,46,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273015,68,35,79,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273016,37,34,58,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273017,56,39,46,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273018,60,24,41,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273019,80,39,98,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273020,19,10,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273021,47,27,59,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273022,45,23,73,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273023,31,23,54,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273024,25,21,29,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273028,28,50,46,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273031,28,17,45,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273032,35,21,40,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273033,26,12,36,NA,NA,Mouse,350ug,2w,UBE3A-ATS
699781,37,25,66,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1065707,70,44,78,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165621,71,41,107,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273034,NA,23,25,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273035,NA,20,16,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273036,NA,26,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273061,NA,22,33,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273062,NA,10,28,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273063,NA,29,32,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273064,NA,25,38,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273065,NA,16,27,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273066,NA,36,34,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273067,NA,42,44,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273070,NA,23,25,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273071,NA,71,57,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273072,NA,48,38,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273037,NA,25,12,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273038,NA,29,16,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273039,NA,29,15,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273040,NA,33,39,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273041,NA,29,48,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273042,NA,17,51,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273044,NA,27,45,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273045,NA,24,48,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273048,NA,18,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273049,NA,15,19,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273050,NA,31,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273051,NA,21,17,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273052,NA,15,14,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273055,NA,20,14,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273056,NA,22,16,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273057,NA,18,16,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273058,NA,22,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273059,NA,17,16,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273060,NA,35,36,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273084,NA,35,41,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273087,NA,14,12,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273088,NA,28,33,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273090,NA,41,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273091,NA,31,26,NA,NA,Mouse,350ug,2w,UBE3A-ATS
